x	y	divider_dec	real_dec	divider_bin	real_bin	error
1.0	1.0	1.0	1.0	+1.0000000000000000000000000000000000000000000000000000	+1.0000000000000000000000000000000000000000000000000000	1
1.01	1.0	1.0099999999999998	1.01	+1.0000001010001111010111000010100011110101110000101000	+1.0000001010001111010111000010100011110101110000101001	1
1.02	1.0	1.0199999999999996	1.02	+1.0000010100011110101110000101000111101011100001010000	+1.0000010100011110101110000101000111101011100001010010	2
1.03	1.0	1.0299999999999996	1.03	+1.0000011110101110000101000111101011100001010001111001	+1.0000011110101110000101000111101011100001010001111011	2
1.04	1.0	1.0399999999999998	1.04	+1.0000101000111101011100001010001111010111000010100011	+1.0000101000111101011100001010001111010111000010100100	3
1.05	1.0	1.0499999999999996	1.05	+1.0000110011001100110011001100110011001100110011001011	+1.0000110011001100110011001100110011001100110011001101	3
1.06	1.0	1.0599999999999996	1.06	+1.0000111101011100001010001111010111000010100011110100	+1.0000111101011100001010001111010111000010100011110110	2
1.07	1.0	1.0699999999999996	1.07	+1.0001000111101011100001010001111010111000010100011101	+1.0001000111101011100001010001111010111000010100011111	2
1.08	1.0	1.0799999999999998	1.08	+1.0001010001111010111000010100011110101110000101000111	+1.0001010001111010111000010100011110101110000101001000	4
1.09	1.0	1.0899999999999996	1.09	+1.0001011100001010001111010111000010100011110101101111	+1.0001011100001010001111010111000010100011110101110001	5
1.1	1.0	1.0999999999999996	1.1	+1.0001100110011001100110011001100110011001100110011000	+1.0001100110011001100110011001100110011001100110011010	2
1.11	1.0	1.1099999999999999	1.11	+1.0001110000101000111101011100001010001111010111000010	+1.0001110000101000111101011100001010001111010111000011	1
1.12	1.0	1.1199999999999997	1.12	+1.0001111010111000010100011110101110000101000111101010	+1.0001111010111000010100011110101110000101000111101100	3
1.1300000000000001	1.0	1.13	1.1300000000000001	+1.0010000101000111101011100001010001111010111000010100	+1.0010000101000111101011100001010001111010111000010101	1
1.1400000000000001	1.0	1.1399999999999997	1.1400000000000001	+1.0010001111010111000010100011110101110000101000111100	+1.0010001111010111000010100011110101110000101000111110	2
1.1500000000000001	1.0	1.1499999999999997	1.1500000000000001	+1.0010011001100110011001100110011001100110011001100101	+1.0010011001100110011001100110011001100110011001100111	2
1.1600000000000001	1.0	1.16	1.1600000000000001	+1.0010100011110101110000101000111101011100001010001111	+1.0010100011110101110000101000111101011100001010010000	5
1.1700000000000002	1.0	1.1699999999999997	1.1700000000000002	+1.0010101110000101000111101011100001010001111010110111	+1.0010101110000101000111101011100001010001111010111001	4
1.1800000000000002	1.0	1.18	1.1800000000000002	+1.0010111000010100011110101110000101000111101011100001	+1.0010111000010100011110101110000101000111101011100010	2
1.1900000000000002	1.0	1.19	1.1900000000000002	+1.0011000010100011110101110000101000111101011100001010	+1.0011000010100011110101110000101000111101011100001011	1
1.2000000000000002	1.0	1.1999999999999997	1.2000000000000002	+1.0011001100110011001100110011001100110011001100110010	+1.0011001100110011001100110011001100110011001100110100	3
1.2100000000000002	1.0	1.2099999999999997	1.2100000000000002	+1.0011010111000010100011110101110000101000111101011011	+1.0011010111000010100011110101110000101000111101011101	3
1.2200000000000002	1.0	1.22	1.2200000000000002	+1.0011100001010001111010111000010100011110101110000101	+1.0011100001010001111010111000010100011110101110000110	2
1.2300000000000002	1.0	1.2299999999999998	1.2300000000000002	+1.0011101011100001010001111010111000010100011110101101	+1.0011101011100001010001111010111000010100011110101111	2
1.2400000000000002	1.0	1.2399999999999998	1.2400000000000002	+1.0011110101110000101000111101011100001010001111010110	+1.0011110101110000101000111101011100001010001111011000	4
1.2500000000000002	1.0	1.25	1.2500000000000002	+1.0100000000000000000000000000000000000000000000000000	+1.0100000000000000000000000000000000000000000000000001	1
1.2600000000000002	1.0	1.26	1.2600000000000002	+1.0100001010001111010111000010100011110101110000101001	+1.0100001010001111010111000010100011110101110000101010	2
1.2700000000000002	1.0	1.2699999999999998	1.2700000000000002	+1.0100010100011110101110000101000111101011100001010001	+1.0100010100011110101110000101000111101011100001010011	2
1.2800000000000002	1.0	1.2799999999999998	1.2800000000000002	+1.0100011110101110000101000111101011100001010001111010	+1.0100011110101110000101000111101011100001010001111100	3
1.2900000000000003	1.0	1.29	1.2900000000000003	+1.0100101000111101011100001010001111010111000010100100	+1.0100101000111101011100001010001111010111000010100101	1
1.3000000000000003	1.0	1.2999999999999998	1.3000000000000003	+1.0100110011001100110011001100110011001100110011001100	+1.0100110011001100110011001100110011001100110011001110	2
1.3100000000000003	1.0	1.31	1.3100000000000003	+1.0100111101011100001010001111010111000010100011110110	+1.0100111101011100001010001111010111000010100011110111	1
1.3200000000000003	1.0	1.3199999999999998	1.3200000000000003	+1.0101000111101011100001010001111010111000010100011110	+1.0101000111101011100001010001111010111000010100100000	6
1.3300000000000003	1.0	1.3299999999999998	1.3300000000000003	+1.0101010001111010111000010100011110101110000101000111	+1.0101010001111010111000010100011110101110000101001001	4
1.3400000000000003	1.0	1.34	1.3400000000000003	+1.0101011100001010001111010111000010100011110101110001	+1.0101011100001010001111010111000010100011110101110010	2
1.3500000000000003	1.0	1.3499999999999999	1.3500000000000003	+1.0101100110011001100110011001100110011001100110011001	+1.0101100110011001100110011001100110011001100110011011	2
1.3600000000000003	1.0	1.36	1.3600000000000003	+1.0101110000101000111101011100001010001111010111000011	+1.0101110000101000111101011100001010001111010111000100	3
1.3700000000000003	1.0	1.37	1.3700000000000003	+1.0101111010111000010100011110101110000101000111101100	+1.0101111010111000010100011110101110000101000111101101	1
1.3800000000000003	1.0	1.38	1.3800000000000003	+1.0110000101000111101011100001010001111010111000010100	+1.0110000101000111101011100001010001111010111000010110	2
1.3900000000000003	1.0	1.39	1.3900000000000003	+1.0110001111010111000010100011110101110000101000111101	+1.0110001111010111000010100011110101110000101000111111	2
1.4000000000000004	1.0	1.4000000000000001	1.4000000000000004	+1.0110011001100110011001100110011001100110011001100111	+1.0110011001100110011001100110011001100110011001101000	4
1.4100000000000004	1.0	1.41	1.4100000000000004	+1.0110100011110101110000101000111101011100001010001111	+1.0110100011110101110000101000111101011100001010010001	5
1.4200000000000004	1.0	1.42	1.4200000000000004	+1.0110101110000101000111101011100001010001111010111000	+1.0110101110000101000111101011100001010001111010111010	2
1.4300000000000004	1.0	1.4300000000000002	1.4300000000000004	+1.0110111000010100011110101110000101000111101011100010	+1.0110111000010100011110101110000101000111101011100011	1
1.4400000000000004	1.0	1.4400000000000002	1.4400000000000004	+1.0111000010100011110101110000101000111101011100001011	+1.0111000010100011110101110000101000111101011100001100	3
1.4500000000000004	1.0	1.45	1.4500000000000004	+1.0111001100110011001100110011001100110011001100110011	+1.0111001100110011001100110011001100110011001100110101	3
1.4600000000000004	1.0	1.46	1.4600000000000004	+1.0111010111000010100011110101110000101000111101011100	+1.0111010111000010100011110101110000101000111101011110	2
1.4700000000000004	1.0	1.4700000000000002	1.4700000000000004	+1.0111100001010001111010111000010100011110101110000110	+1.0111100001010001111010111000010100011110101110000111	1
1.4800000000000004	1.0	1.48	1.4800000000000004	+1.0111101011100001010001111010111000010100011110101110	+1.0111101011100001010001111010111000010100011110110000	5
1.4900000000000004	1.0	1.4900000000000002	1.4900000000000004	+1.0111110101110000101000111101011100001010001111011000	+1.0111110101110000101000111101011100001010001111011001	1
1.5000000000000004	1.0	1.5000000000000002	1.5000000000000004	+1.1000000000000000000000000000000000000000000000000001	+1.1000000000000000000000000000000000000000000000000010	2
1.5100000000000005	1.0	1.51	1.5100000000000005	+1.1000001010001111010111000010100011110101110000101001	+1.1000001010001111010111000010100011110101110000101011	2
1.5200000000000005	1.0	1.5200000000000002	1.5200000000000005	+1.1000010100011110101110000101000111101011100001010011	+1.1000010100011110101110000101000111101011100001010100	3
1.5300000000000005	1.0	1.53	1.5300000000000005	+1.1000011110101110000101000111101011100001010001111011	+1.1000011110101110000101000111101011100001010001111101	3
1.5400000000000005	1.0	1.5400000000000003	1.5400000000000005	+1.1000101000111101011100001010001111010111000010100101	+1.1000101000111101011100001010001111010111000010100110	2
1.5500000000000005	1.0	1.5500000000000003	1.5500000000000005	+1.1000110011001100110011001100110011001100110011001110	+1.1000110011001100110011001100110011001100110011001111	1
