x	y	divider_dec	real_dec	divider_bin	real_bin	error
1.0	1.0	0.9999999403953552	1.0	+0.111111111111111111111111	+1.000000000000000000000000	24
1.0099999904632568	1.0	1.0099998116493225	1.0099999904632568	+1.000000101000111101011001	+1.000000101000111101011100	3
1.0199999809265137	1.0	1.0199998021125793	1.0199999809265137	+1.000001010001111010110101	+1.000001010001111010111000	4
1.0299999713897705	1.0	1.0299997925758362	1.0299999713897705	+1.000001111010111000010001	+1.000001111010111000010100	3
1.0399999618530273	1.0	1.039999783039093	1.0399999618530273	+1.000010100011110101101101	+1.000010100011110101110000	5
1.0499999523162842	1.0	1.0499997735023499	1.0499999523162842	+1.000011001100110011001001	+1.000011001100110011001100	3
1.059999942779541	1.0	1.0599997639656067	1.059999942779541	+1.000011110101110000100101	+1.000011110101110000101000	4
1.0699999928474426	1.0	1.0699998140335083	1.0699999928474426	+1.000100011110101110000010	+1.000100011110101110000101	3
1.0799999833106995	1.0	1.0799998044967651	1.0799999833106995	+1.000101000111101011011110	+1.000101000111101011100001	6
1.0899999737739563	1.0	1.089999794960022	1.0899999737739563	+1.000101110000101000111010	+1.000101110000101000111101	3
1.0999999642372131	1.0	1.0999998450279236	1.0999999642372131	+1.000110011001100110010111	+1.000110011001100110011001	4
1.10999995470047	1.0	1.1099998354911804	1.10999995470047	+1.000111000010100011110011	+1.000111000010100011110101	3
1.1199999451637268	1.0	1.1199998259544373	1.1199999451637268	+1.000111101011100001001111	+1.000111101011100001010001	5
1.1299999952316284	1.0	1.129999816417694	1.1299999952316284	+1.001000010100011110101011	+1.001000010100011110101110	3
1.1399999856948853	1.0	1.139999806880951	1.1399999856948853	+1.001000111101011100000111	+1.001000111101011100001010	4
1.149999976158142	1.0	1.1499997973442078	1.149999976158142	+1.001001100110011001100011	+1.001001100110011001100110	3
1.159999966621399	1.0	1.1599997878074646	1.159999966621399	+1.001010001111010110111111	+1.001010001111010111000010	7
1.1699999570846558	1.0	1.1699997782707214	1.1699999570846558	+1.001010111000010100011011	+1.001010111000010100011110	3
1.1799999475479126	1.0	1.1799997687339783	1.1799999475479126	+1.001011100001010001110111	+1.001011100001010001111010	4
1.1899999976158142	1.0	1.1899998188018799	1.1899999976158142	+1.001100001010001111010100	+1.001100001010001111010111	2
1.199999988079071	1.0	1.1999998688697815	1.199999988079071	+1.001100110011001100110001	+1.001100110011001100110011	2
1.2099999785423279	1.0	1.2099998593330383	1.2099999785423279	+1.001101011100001010001101	+1.001101011100001010001111	2
1.2199999690055847	1.0	1.2199998497962952	1.2199999690055847	+1.001110000101000111101001	+1.001110000101000111101011	2
1.2299999594688416	1.0	1.229999840259552	1.2299999594688416	+1.001110101110000101000101	+1.001110101110000101000111	2
1.2399999499320984	1.0	1.2399998307228088	1.2399999499320984	+1.001111010111000010100001	+1.001111010111000010100011	2
1.25	1.0	1.2499998807907104	1.25	+1.001111111111111111111110	+1.010000000000000000000000	23
1.2599999904632568	1.0	1.2599998116493225	1.2599999904632568	+1.010000101000111101011001	+1.010000101000111101011100	3
1.2699999809265137	1.0	1.2699998021125793	1.2699999809265137	+1.010001010001111010110101	+1.010001010001111010111000	4
1.2799999713897705	1.0	1.2799997925758362	1.2799999713897705	+1.010001111010111000010001	+1.010001111010111000010100	3
1.2899999618530273	1.0	1.289999783039093	1.2899999618530273	+1.010010100011110101101101	+1.010010100011110101110000	5
1.2999999523162842	1.0	1.2999998331069946	1.2999999523162842	+1.010011001100110011001010	+1.010011001100110011001100	3
1.309999942779541	1.0	1.3099998235702515	1.309999942779541	+1.010011110101110000100110	+1.010011110101110000101000	4
1.3199999928474426	1.0	1.319999873638153	1.3199999928474426	+1.010100011110101110000011	+1.010100011110101110000101	3
1.3299999833106995	1.0	1.32999986410141	1.3299999833106995	+1.010101000111101011011111	+1.010101000111101011100001	6
1.3399999737739563	1.0	1.339999794960022	1.3399999737739563	+1.010101110000101000111010	+1.010101110000101000111101	3
1.3499999642372131	1.0	1.3499997854232788	1.3499999642372131	+1.010110011001100110010110	+1.010110011001100110011001	4
1.35999995470047	1.0	1.3599997758865356	1.35999995470047	+1.010111000010100011110010	+1.010111000010100011110101	3
1.3699999451637268	1.0	1.3699997663497925	1.3699999451637268	+1.010111101011100001001110	+1.010111101011100001010001	5
